Sep 17th,Brickmakers,King Parrot - Struck a Nerve - Berenice - Chaplain
Sep 18th,Space,Overview
Sep 18th,Gonzos,Covert Radio Takeover
Sep 18th,Holloway,Gangsta Hippie presents Farma G + Harry Ixer + Kasumu + Skitzgerald
Sep 18th,Brickmakers,Wrong Jovi
Sep 18th,Arts Centre,When Rivers Meet
Sep 18th,Waterfront,Antarctic Monkeys
Sep 18th,Voodoos,Gyasi
Sep 18th,Dead Wax,Tadi the Great (dj Set)
Sep 18th,Last Pub,Revinyl Sessions
Sep 19th,Space,Basement Sessions
Sep 19th,Gonzos,Captain Wallop
Sep 19th,Holloway,Maria Uzor ‘Fantasyland’ Album Show + Birds of Hell
Sep 19th,Epic,Cafe Mambo Ibiza - Classics in The City
Sep 19th,Brickmakers,Britallica
Sep 19th,Waterfront,King King
Sep 19th,Waterfront,Bare Jams
Sep 19th,Hangar,Norwich: MJ Cole – Daylight Disco - End Of Summer Day Party | Norwich 19th Sept
Sep 19th,Last Pub,All Night Long with AMSORRY2
Sep 20th,Holloway,O My Stars presents hemlock + Westelaken + yer blooze
Sep 20th,Epic,Tom Arbin - Live at The Green Room
Sep 20th,Brickmakers,Nr Ska
Sep 20th,Waterfront,Wheels in Motion Tour
Sep 20th,Dead Wax,Erotic Secrets of Pompeii + Supports
Sep 20th,Last Pub,Chubby Jams
Sep 21st,Last Pub,Norwich Jazz Jam
Sep 22nd,Holloway,Civilian + supports (FREE SHOW)
Sep 22nd,Maddermarket,Chicago: Teen Edition
Sep 22nd,Waterfront,Elephant Kind
Sep 22nd,Dead Wax,PINN (ep release show) + SICKENER + KADE HATES ME
Sep 24th,Epic,Robert Macfarlane & Jackie Morris: The Book of Birds
Sep 24th,Brickmakers,Open Mic with Peter T
Sep 24th,Arts Centre,Murmurations
Sep 24th,Voodoos,Radu Isac – “Sadly Funny”
Sep 24th,Dead Wax,Bone Machine (dj Set)
Sep 24th,Last Pub,A Joint Effort
Sep 25th,Space,Space 5th Birthday - Sully + Support
Sep 25th,Gonzos,Richy Ahmed
Sep 25th,Holloway,"Moloch (Sludge/Doom), Grim Harvest & Undume"
Sep 25th,Epic,Daft Funk Live
Sep 25th,Maddermarket,Martin Turner (ex Wishbone Ash): TWO ERAS Tour 2026
Sep 25th,Arts Centre,Random Hand + Goober Patrol
Sep 25th,Waterfront,Rumble – Clash of the Titans
Sep 25th,Waterfront,Kerrang Revival Band
Sep 25th,Waterfront,Laura Aston
Sep 25th,Voodoos,The Meteors + Haunted Men
Sep 25th,Dead Wax,YTP Presents: Bind’s big hardcore show
Sep 25th,Brickmakers,Ransom for a Dead Man
Sep 25th,Hangar,Norwich: Red Card Comedy Club Presents: Christian Reilly & Friends
Sep 25th,Last Pub,All Night Long with Three More Tunes & Aoife
Sep 26th,Gonzos,Sarah Story
Sep 26th,Holloway,Nagasaki Swim + Starter Car + more tbc
Sep 26th,Epic,An Evening with Chicane
Sep 26th,Brickmakers,One Drop Vinyl Selectors – Ska And Reggie Garden Party
Sep 26th,Brickmakers,Dead Horse
Sep 26th,Maddermarket,Chemistry - a tribute to Rush
Sep 26th,Arts Centre,HEARTBREAK: The Tom Petty Show
Sep 26th,Waterfront,Erasured
Sep 26th,Voodoos,Feeling Minnesota + Lara Price Band
Sep 26th,The Halls,Emilio Santoro as Elvis
Sep 26th,Last Pub,Future Grooves
Sep 26th,Space,Space's 5th Birthday Party
Sep 27th,Epic,Paul Merton and Suki Webster's Improv Show
Sep 27th,Brickmakers,Pyevarotti
Sep 27th,Maddermarket,Yourythmics
Sep 27th,Brickmakers,Porkys Hot Rockin
Sep 28th,Last Pub,Norwich Jazz Jam
Sep 29th,Arts Centre,Tone presents Claudio Constantini
Sep 29th,Dead Wax,Sam Russo & the Trembling Leaves + Sophie Porter + James Hull
Sep 30th,Space,Ziggarettes + Support
Sep 30th,Epic,Round Midnight presents Mammal Hands
Sep 30th,Brickmakers,Norfolk Blues Society
Sep 30th,Arts Centre,Sam Kelly & The Lost Boys and Honey & The Bear
Sep 30th,Arts Centre,Round Midnight presents Mammal Hands @ EPIC Studios
Oct 1st,Epic,Creedence Clearwater Review - Cosmo's Factory Tour
Oct 1st,Maddermarket,The Upbeat Beatles
Oct 1st,Arts Centre,Ballads and Songs: Sam Carter sings Nic Jones
Oct 1st,Waterfront,Fletchr Fletchr
Oct 2nd,Gonzos,Mozey
Oct 2nd,Holloway,The Yee-Haws + Das Kapitans + Rudimentary Paste
Oct 2nd,Brickmakers,After Thought
Oct 2nd,Maddermarket,DS:UK...in Tribute to Dire Straits - ON anoTHEr NIGHT tour
Oct 2nd,Arts Centre,Takeda
Oct 2nd,Waterfront,Rhythm Of The 90s
Oct 2nd,Waterfront,Arkayla
Oct 2nd,Voodoos,"Pica pica, Pica pica! presents Gaffa Tape Sandy, really big really clever, Rats As Big As Dogs"
Oct 3rd,Gonzos,Elliot Schooling & Liam Palmer (Appetite)
Oct 3rd,Brickmakers,SLAYDAY – ShredFest
Oct 3rd,Waterfront,The Total Stone Roses
Oct 3rd,Waterfront,Toploader
Oct 3rd,LCR,Myles Smith
Oct 3rd,LCR,The Lemonheads
Oct 3rd,Voodoos,The Tubs + Spike & The Danphes
Oct 3rd,The Reindeer,Devil's Cadillac
Oct 4th,Epic,Magnum
Oct 4th,Brickmakers,Those Deadbeat Cats
Oct 4th,Waterfront,The Five Hundred
Oct 6th,Voodoos,"Pica pica, Pica pica! presents Joe & The Shitboys + Mountain Peaks + Inner Dog"
Oct 7th,Brickmakers,The Blue Lion Band
Oct 7th,Arts Centre,The Reverend Peyton’s Big Damn Band
Oct 7th,Waterfront,(Hed) P.E. & Cold
Oct 7th,Waterfront,The Dunwells
Oct 7th,Brickmakers,The Psychedelic Circus
Oct 8th,Holloway,The Yummy Fur + Pete Fij (Ex Adorable)
Oct 8th,Epic,Wishbone Ash
Oct 8th,Brickmakers,Open Mic with Peter T
Oct 8th,Waterfront,Omega Nebula
Oct 8th,Voodoos,BLOOD WIZARD + Sickener & Twelve Atlas
Oct 9th,Epic,Swiftogeddon - 20 years of Taylor special
Oct 9th,Brickmakers,Jade
Oct 9th,Waterfront,The Black Charade + Fell Out Boy
Oct 9th,Voodoos,Dolphin Love
Oct 9th,Dead Wax,Corncutter Promotions Present: Dan Walsh
Oct 9th,The Reindeer,Halo's Edge
Oct 10th,Gonzos,Delilah
Oct 10th,Holloway,The Asteroid No.4 (USA PSYCH) + Velveteen
Oct 10th,Brickmakers,The Stereotypes
Oct 10th,Arts Centre,Cut Capers
Oct 10th,Waterfront,Ferocious Dog
Oct 10th,Waterfront,Hannah Wicklund
Oct 10th,LCR,Don Broco
Oct 10th,Voodoos,Gallus
Oct 11th,Holloway,DEAFKIDS (Brazil) + João Kombi (TEST) + more!
Oct 11th,Epic,Scott Bennett - Blood Sugar baby
Oct 11th,Brickmakers,The Black Dog Music Project
Oct 11th,Arts Centre,Myles Sanko
Oct 11th,Waterfront,Walter Trout
Oct 11th,LCR,The Hu
Oct 11th,Voodoos,Girl Group
Oct 12th,Holloway,Shadow World presents Reality + Thea Grant + Trace Monument
Oct 12th,Epic,Crash Test Dummies
Oct 13th,Arts Centre,Thorpe Creative Hub presents Soundstage
Oct 13th,Voodoos,Theatre
Oct 14th,Brickmakers,The Black Dog Music Project
Oct 14th,Maddermarket,ADHD Unfiltered
Oct 14th,Waterfront,Hayseed Dixie
Oct 14th,Voodoos,Li Jin Hao: Falling from a Moon
Oct 15th,Holloway,Lucy Grubb & Luke James Williams (Co-Headline)
Oct 15th,Epic,The Undertones + Special Guests The Beat ft Ranking Jr
Oct 15th,Waterfront,Big Horizon
Oct 15th,Voodoos,John Craigie with special guest Jobi Riccio
Oct 16th,Holloway,Boombox presents Icarus Vision + Modern Motive + Hook
Oct 16th,Epic,The Anglia Comedy Allstars
Oct 16th,Brickmakers,Infernal Racket
Oct 16th,Arts Centre,Timba Británica
Oct 16th,Waterfront,The Luke Combs Experience
Oct 16th,Waterfront,Lady Leshurr
Oct 16th,Voodoos,"Demonhound Doomfest: Gurt + Sleeping Giant,  Famyne + more!"
Oct 16th,Dead Wax,Alternative Disco
Oct 17th,Holloway,Green Diesel +  Joshua Arnold & Therine + Florence Rose Broomfield
Oct 17th,Epic,Inspires Greatest Show
Oct 17th,Epic,R&B Lovers
Oct 17th,Brickmakers,Mission Remission Present – STARS IN THERE EYES
Oct 17th,Waterfront,The Hoosiers
Oct 17th,Waterfront,Black Water County
Oct 18th,Holloway,Tiny Vipers (USA) + Chantal Acda (BE/NL) + astridDrift.
Oct 18th,Brickmakers,Rusty Metal
Oct 18th,Maddermarket,Baga Chipz: Bagz to Riches
Oct 18th,Waterfront,Lime Garden
Oct 18th,Waterfront,Skating Polly
Oct 19th,Waterfront,Heaven 17
Oct 20th,Holloway,Kelley Stoltz (USA) + Tracy Bryant + molto morbidi
Oct 20th,Epic,Keeping Abreast 'More than just Fashion' Show: The 10th Show
Oct 20th,Arts Centre,Jake Vaadeland & The Sturgeon River Boys
Oct 20th,Waterfront,Gurriers
Oct 20th,Voodoos,Voodoo Daddy’s Open Mic
Oct 20th,Dead Wax,"phage records & killtown present: ceremonial bloodbath, cryptworm, plagued"
Oct 21st,Epic,Keeping Abreast 'More than just Fashion' Show: The 10th Show
Oct 21st,Arts Centre,Beth Orton
Oct 21st,Voodoos,Bel Cobain + Nayana Ab & Maya Law
Oct 22nd,Brickmakers,Perrl Presents –
Oct 22nd,Arts Centre,Ezra Furman @ The Halls
Oct 22nd,Voodoos,King No-One
Oct 22nd,Brickmakers,Blaze Bayley
Oct 23rd,Epic,UK Foo Fighters
Oct 23rd,Brickmakers,Wiggy Stardust and the Ciders From Jars
Oct 23rd,Maddermarket,The Fleetwood Mac Songbook
Oct 23rd,Arts Centre,Brown Horse
Oct 23rd,Waterfront,Duke Special
Oct 24th,Holloway,Pina Palau (CH) + yer blooze
Oct 24th,Epic,Transvision Vamp
Oct 24th,Brickmakers,Cydonia Knights – Muse Tribute
Oct 24th,Arts Centre,The 50th Anniversary Of Punk In The East
Oct 24th,Waterfront,Huey Morgan
Oct 24th,LCR,The Wonder Stuff & Inspiral Carpets
Oct 24th,Voodoos,Flint Moore
Oct 25th,Epic,Two Mr Ps in a Podcast: Live - Let That Be A Lesson...
Oct 25th,Brickmakers,Ska Face
Oct 25th,Maddermarket,Je Suis Swing!
Oct 25th,Brickmakers,Sing it your way KARAOKE
Oct 25th,The Reindeer,Nikki and the Switchblades
Oct 27th,Epic,Neon Moon FREAKSHOW
Oct 27th,Arts Centre,Round Midnight presents Jasmine Myra
Oct 27th,Voodoos,"The Jump Cuts + Harry Jordan, Gavin Bowers"
Oct 27th,Dead Wax,ytp presents: Stormo + Believe In Nothing + Pigg + Vermin
Oct 28th,Brickmakers,An Evening With King – PAUL QUINN
Oct 28th,Arts Centre,Dallahan
Oct 28th,LCR,Norwich Book Festival: Paul Sexton
Oct 28th,Voodoos,"Collapse The Sky + Karybdis, Skinchanger"
Oct 28th,Brickmakers,Adam and the Hellcats
Oct 28th,Brickmakers,Paul Quinn
Oct 29th,Holloway,Hey Colossus + Savak + The Breedling
Oct 29th,Epic,THIS FLIGHT TONIGHT: The Songs of Joni Mitchell
Oct 29th,Arts Centre,Lol Tolhurst
Oct 29th,Waterfront,Captain Accident and the Disasters
Oct 29th,Voodoos,Hippie Death Cult + Okay you win & Commoner
Oct 29th,Dead Wax,Lust for Life Productions: San Vito Ryder + Fabergé Falls + Toast
Oct 29th,Brickmakers,Open  mic  night with Peter Turrell
Oct 30th,Holloway,Gnoomes + Yufo + Blue Cinema
Oct 30th,Epic,Gentleman's Dub Club - 20th Anniversary Tour
Oct 30th,Brickmakers,Beautiful Dangerous
Oct 30th,Waterfront,Forever Nu!
Oct 30th,Voodoos,Pet Needs + Keep Flying & So Good
Oct 30th,The Reindeer,Mister Pink
Oct 31st,Brickmakers,Popestars – Ghost Tribute
Oct 31st,Arts Centre,Bloghaus of Horrors – Halloween Special
Oct 31st,Voodoos,Asinine Halloween #4 – Eahc Edition
Oct 31st,Brickmakers,Popestars - A Tribute To Ghost with BYOB - SOAD tr
Nov 1st,Holloway,Les Caravanes - Travelling Folk Club + Supports
Nov 1st,Brickmakers,After Thought Band
Nov 1st,Waterfront,Will Wilde
Nov 3rd,Arts Centre,Gently Tender
Nov 4th,Waterfront,Breed 77
Nov 4th,LCR,Deaf Havana
Nov 5th,Holloway,Firestations + Supports!
Nov 5th,Epic,"Josh Pugh: Ha Ha, Yeah Sound"
Nov 5th,Brickmakers,Eddie & The Hot Rods + Support
Nov 5th,Arts Centre,PONY UP presents Dogshow
Nov 5th,Waterfront,Orgy
Nov 6th,Holloway,Wendy Eisenberg (USA) + e.m.arson + Patsy Delve
Nov 6th,Brickmakers,Generation 29
Nov 6th,Waterfront,Mad Dog Mcrea
Nov 6th,Voodoos,Sego
Nov 7th,Holloway,O My Stars presents Colin Miller (USA)
Nov 7th,Brickmakers,Nr Ska
Nov 7th,Arts Centre,The Hanging Stars
Nov 7th,Waterfront,Republica
Nov 7th,Waterfront,Chloe Slater
Nov 7th,Voodoos,"Canned Pineapple + The Bungees, Decent Wrestlers"
Nov 7th,The Reindeer,Fictus
Nov 8th,Epic,Maisie Adam: Whatsherface | SOLD OUT
Nov 8th,Brickmakers,Addictive Mix
Nov 8th,Waterfront,Joshua Idehen
